category	original_path	git_mode	baseline_blob_id	byte_length	sha256	recovery_commit
dashboard-application	docs/chains/rh/dashboard/.gitignore	100644	69364904e18a2362ce47acdacc94489b7c390e93	556	f19b56bd9fac5296b8ec642129ca47d7c04ba68f5e6d4499db524830aa4b7965	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/.openai/hosting.json	100644	e8fa31919a4a15117f6c534ba657fb5fe944abf3	91	9ccfdab2f03d743ef25155ebad1e9ddd3e10f18432569d86980bd031f70f24a5	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/README.md	100644	3edb84b54fbc21fa1cc7e4ce024259273fcdb06c	5344	ff1e203fb7fee583c8da24d5581d80436029d03d138803c97fc8620f5ca92fcf	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/app/chatgpt-auth.ts	100644	8d1fb3534463fb53fc0ff10ce6d5eccebf5964fa	2404	17a965f8948b21510cdf8ecbd70c5fdf58100e10970463f6a8fd2cc4795f8044	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/app/globals.css	100644	a703496bcc4242db5e3b31089730b168abfb1100	31626	efa3d83914c5ac5f5e5c79393c38360f0223de8feeb0c72f059cb570b14cf556	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/app/handoff/[slug]/route.ts	100644	889bf53c619e1e9b97536dd3e67307d56e02c82b	808	dbd8d2c73db41279290305845b992c2674225e89714bcf9fe6fb11d60cbe61f3	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/app/layout.tsx	100644	467ab210ef5395d0955cc55a7a3fd24ab2ec3090	1263	37f495508086ff0422cdf9d756828eab5bd9b036ab1e2bbf030ec1f81e195f46	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/app/page.tsx	100644	2d0970de2bde4d40d84336b67f5b739bf30a734a	46357	75265cce9ab6ca0579a49e5495a0c2a84eb0743ff4fd35e8258223cdc444fd3b	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/app/status-view.mjs	100644	4c1e3ee71311a46af0be0493cb7643bc97ad6355	3354	06cb87ff4efae137ca192866cecf60d94b773d552132b36a05309f8ec521be41	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/build/sites-vite-plugin.ts	100644	cf467ed43e819fe13179a4b2164f685d55de1c28	728	0e45d189156766e1290be14f98e20b28c295dc8fb116bb98fbadbda32e375d25	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/eslint.config.mjs	100644	406172568a5b2659e830f68230f92dc8148a1814	490	67a6f46e5f65fe1b91303e313eb01a9eed3be8622295f7c79ed6d1d4c2023e96	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/next.config.ts	100644	e9ffa3083ad279ecf95fd8eae59cb253e9a539c4	133	614bce25b089c3f19b1e17a6346c74b858034040154c6621e7d35303004767cc	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/package-lock.json	100644	7b93e01c9783bf9a7e0c62fdd9624252f43d515a	346822	7d5572ae2bea667824a0f302ff782e6b0c13b8b9f97c5b0fce6cd14319421695	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/package.json	100644	b8e6ac2e354d0d7c247fd5a33ec355c94f68e23e	1217	c37112d84586971da76c5e4e7fa8a3bcc9caa32bbc3ed28915e73d7bf7f58295	610b43f4508e85628a1362532a79d68d71ea902c
dashboard-application	docs/chains/rh/dashboard/postcss.config.mjs	100644	61e36849cf7cfa9f1f71b4a3964a4953e3e243d3	94	dfac7ac2d86d326a0e5adb024e7943c181393ed17a5fcb8f0315b24c7da6ddde	610b43f4508e85628a1362532a79d68d71ea902c
