Record ID	Category	Component	Blueprint/Defaults path	Derived-ledger key	PR #66 path	PR #66 value	Current value	Authority class	Resolution state	Evidence source	Evidence type	Current blocker	Owner	RPC required	Deployment required	Downstream consumer	Recommended action	Notes
META-000	Evidence label	Evidence only — not configuration or deployment authority	n/a	n/a	n/a	n/a	n/a	evidence metadata	already_accepted_current_authority	this TSV	label	n/a	reviewer	no	no	all	Review only; do not treat this file as authority.	Evidence only — not configuration or deployment authority
P-H04-001	PR #66 selected input	Canonical Robinhood value for Defaults.genConfig.perUserMaxVaults.	Defaults.genConfig.perUserMaxVaults	P-H04-001	contracts/config/DefaultsRobinHood.vy::Defaults.genConfig.perUserMaxVaults	5	5	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-002	PR #66 selected input	Canonical Robinhood value for Defaults.genConfig.perUserMaxAssetsPerVault.	Defaults.genConfig.perUserMaxAssetsPerVault	P-H04-002	contracts/config/DefaultsRobinHood.vy::Defaults.genConfig.perUserMaxAssetsPerVault	15	15	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-003	PR #66 selected input	Canonical Robinhood value for Defaults.genConfig.priceStaleTime.	Defaults.genConfig.priceStaleTime	P-H04-003	contracts/config/DefaultsRobinHood.vy::Defaults.genConfig.priceStaleTime	86400	86400	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-004	PR #66 selected input	Canonical Robinhood value for Defaults.genConfig.canDeposit.	Defaults.genConfig.canDeposit	P-H04-004	contracts/config/DefaultsRobinHood.vy::Defaults.genConfig.canDeposit	true	true	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-005	PR #66 selected input	Canonical Robinhood value for Defaults.genConfig.canWithdraw.	Defaults.genConfig.canWithdraw	P-H04-005	contracts/config/DefaultsRobinHood.vy::Defaults.genConfig.canWithdraw	true	true	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-006	PR #66 selected input	Canonical Robinhood value for Defaults.genConfig.canBorrow.	Defaults.genConfig.canBorrow	P-H04-006	contracts/config/DefaultsRobinHood.vy::Defaults.genConfig.canBorrow	true	true	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-007	PR #66 selected input	Canonical Robinhood value for Defaults.genConfig.canRepay.	Defaults.genConfig.canRepay	P-H04-007	contracts/config/DefaultsRobinHood.vy::Defaults.genConfig.canRepay	true	true	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-008	PR #66 selected input	Canonical Robinhood value for Defaults.genConfig.canClaimLoot.	Defaults.genConfig.canClaimLoot	P-H04-008	contracts/config/DefaultsRobinHood.vy::Defaults.genConfig.canClaimLoot	true	true	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-009	PR #66 selected input	Canonical Robinhood value for Defaults.genConfig.canLiquidate.	Defaults.genConfig.canLiquidate	P-H04-009	contracts/config/DefaultsRobinHood.vy::Defaults.genConfig.canLiquidate	true	true	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-010	PR #66 selected input	Canonical Robinhood value for Defaults.genConfig.canRedeemCollateral.	Defaults.genConfig.canRedeemCollateral	P-H04-010	contracts/config/DefaultsRobinHood.vy::Defaults.genConfig.canRedeemCollateral	true	true	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-011	PR #66 selected input	Canonical Robinhood value for Defaults.genConfig.canRedeemInStabPool.	Defaults.genConfig.canRedeemInStabPool	P-H04-011	contracts/config/DefaultsRobinHood.vy::Defaults.genConfig.canRedeemInStabPool	true	true	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-012	PR #66 selected input	Canonical Robinhood value for Defaults.genConfig.canBuyInAuction.	Defaults.genConfig.canBuyInAuction	P-H04-012	contracts/config/DefaultsRobinHood.vy::Defaults.genConfig.canBuyInAuction	true	true	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-013	PR #66 selected input	Canonical Robinhood value for Defaults.genConfig.canClaimInStabPool.	Defaults.genConfig.canClaimInStabPool	P-H04-013	contracts/config/DefaultsRobinHood.vy::Defaults.genConfig.canClaimInStabPool	true	true	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-014	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.perUserDebtLimit.	Defaults.genDebtConfig.perUserDebtLimit	P-H04-014	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.perUserDebtLimit	"""50000000000000000000"""	50000000000000000000	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-015	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.globalDebtLimit.	Defaults.genDebtConfig.globalDebtLimit	P-H04-015	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.globalDebtLimit	"""500000000000000000000"""	500000000000000000000	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-016	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.minDebtAmount.	Defaults.genDebtConfig.minDebtAmount	P-H04-016	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.minDebtAmount	"""1000000000000000000"""	1000000000000000000	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-017	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.numAllowedBorrowers.	Defaults.genDebtConfig.numAllowedBorrowers	P-H04-017	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.numAllowedBorrowers	20	20	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
P-H04-018	PR #66 selected input	Canonical Robinhood value for Defaults.genDebtConfig.maxBorrowPerInterval.	Defaults.genDebtConfig.maxBorrowPerInterval	P-H04-018	contracts/config/DefaultsRobinHood.vy::Defaults.genDebtConfig.maxBorrowPerInterval	"""50000000000000000000"""	50000000000000000000	current human-edited Blueprint/Defaults authority represented in derived ledger	already_accepted_current_authority	PR #66 0f79b626c6ec4788ba43b3132ada9ebec6084f2a; config/robinhood-parameters.json at 5f5d22b7ee78cbb904c4fe3c6e46599c330c4353	exact Git/derived-ledger reconciliation	none	D-H04-22	no	no	DefaultsRobinhood source and derived-ledger synchronization	Preserve current authority; do not re-import PR #66	status=approved; source commit retained for provenance; Evidence only — not configuration or deployment authority
